home,away,kickOffTime,leagueName,odds_1,odds_x,odds_2
Lillestrom,KFUM Oslo,2024-06-27 21:15:00,Eliteserien,1.87,3.7,3.9
Panama,USA,2024-06-28 00:00:00,Copa America 2024,7.3,4.2,1.47
Uruguay,Bolivia,2024-06-28 03:00:00,Copa America 2024,1.19,6.5,15.0
Brann,Stromsgodset,2024-06-28 19:00:00,Eliteserien,1.33,5.7,7.3
Odd,Kristiansund,2024-06-28 19:00:00,Eliteserien,1.92,3.8,3.65
Sarpsborg 08,Bodo/Glimt,2024-06-28 19:00:00,Eliteserien,3.9,4.35,1.75
Tromso,Molde,2024-06-28 21:15:00,Eliteserien,3.05,3.6,2.2
Colombia,Costa Rica,2024-06-29 00:00:00,Copa America 2024,1.53,3.8,7.1
Paraguay,Brazil,2024-06-29 03:00:00,Copa America 2024,8.75,4.45,1.4
Viking,Rosenborg,2024-06-30 15:00:00,Eliteserien,1.57,4.7,4.65
Elfsborg,Brommapojkarna,2024-07-06 15:00:00,Allsvenskan,1.72,4.2,4.15
Mjallby,Sirius,2024-07-06 15:00:00,Allsvenskan,2.15,3.5,3.3
AIK,Kalmar,2024-07-07 14:00:00,Allsvenskan,1.55,4.4,5.5
Varnamo,Goteborg,2024-07-07 14:00:00,Allsvenskan,2.9,3.3,2.42
GAIS,Hammarby,2024-07-07 16:30:00,Allsvenskan,2.45,3.5,2.75
Malmo FF,Halmstad,2024-07-07 16:30:00,Allsvenskan,1.18,7.3,14.0
Norrkoping,Djurgarden,2024-07-08 19:00:00,Allsvenskan,3.65,3.7,1.93
Vasteras,Hacken,2024-07-08 19:00:00,Allsvenskan,2.63,3.8,2.42
Real Madrid,Atalanta,2024-08-14 21:00:00, UEFA Super Cup,1.48,4.35,5.6
